second,Q1 Count,Q2 Count,Q3 Count,Q4 Count
942,40,57,23,33
943,40,56,22,27
944,38,66,28,25
945,43,66,21,25
946,55,53,18,26
947,41,62,20,24
948,45,68,20,27
949,52,65,14,34
950,46,62,19,36
951,49,61,21,25
952,49,57,19,31
953,50,67,23,34
954,49,55,23,40
955,55,66,22,31
956,48,53,25,40
957,49,59,27,34
958,59,58,28,30
959,60,57,19,22
960,53,50,21,30
961,49,58,16,30
962,54,50,23,24
963,50,60,26,30
964,65,56,26,25
965,55,53,27,28
966,46,41,33,24
967,46,40,32,33
968,54,42,27,31
969,56,40,28,28
970,53,43,23,40
971,54,40,29,36
972,55,42,28,32
973,48,42,26,25
974,66,46,31,31
975,43,51,24,26
976,43,39,19,33
977,56,48,25,30
978,58,44,20,26
979,50,43,21,23
980,67,45,22,25
981,57,43,21,24
982,52,40,25,23
983,48,46,24,23
984,49,55,19,22
985,56,45,23,26
986,50,49,24,31
987,41,46,25,32
988,53,47,29,25
989,52,43,30,25
990,51,50,30,27
991,43,42,29,24
992,51,50,27,26
993,58,47,28,32
994,52,49,26,33
995,47,51,25,32
996,51,42,33,25
997,48,40,24,20
998,44,39,26,18
999,43,42,35,19
1000,48,44,31,20
1001,53,40,23,16
1002,55,49,25,17
1003,59,50,28,21
1004,62,62,19,22
1005,54,52,23,16
1006,43,49,21,22
1007,59,51,23,22
1008,53,59,23,24
1009,44,54,18,23
1010,46,60,17,26
1011,41,56,20,30
1012,33,54,22,32
1013,43,50,17,34
1014,38,45,16,31
1015,45,48,21,26
1016,26,48,20,33
1017,39,52,21,38
1018,41,53,22,38
1019,36,47,20,39
1020,24,48,18,37
1021,37,43,16,31
1022,35,45,23,28
1023,41,40,25,24
1024,47,42,26,26
1025,39,46,27,23
1026,30,42,25,27
1027,43,41,25,32
1028,38,37,22,30
1029,49,36,25,31
1030,41,40,35,25
1031,40,40,24,20
1032,41,35,30,20
1033,32,33,28,22
1034,35,29,30,21
1035,37,36,31,27
1036,28,39,33,25
1037,38,42,31,22
1038,42,44,30,22
1039,43,37,21,22
1040,52,43,21,21
1041,43,39,19,23
1042,37,43,18,22
1043,33,47,19,20
1044,46,45,17,22
1045,44,45,16,17
1046,48,49,15,21
1047,38,41,20,18
1048,37,51,18,21
1049,45,51,19,18
1050,34,52,22,19
1051,39,47,20,17
1052,39,53,18,20
1053,41,56,21,18
1054,39,57,21,21
1055,33,64,19,28
1056,32,53,19,27
1057,37,63,20,26
1058,36,55,23,26
1059,28,62,23,24
1060,47,57,22,21
1061,34,62,27,20
1062,37,64,35,20
1063,33,63,35,19
1064,34,53,29,21
